0,SansAnimation,,,,,,,,
,,,,,,,,,
0,bonestab,1,50,0.8,0.28,,,,
0,bonestab,3,50,0.8,0.28,,,,
0,GasterBlaster,0,640,240,499,306,180,0.2,0.28
0.699,,,,,,,,,
0,GasterBlaster,1,0,240,139,306,0,0.2,0.2
0,GasterBlaster,1,640,240,499,306,180,0.2,0.2
0,GasterBlaster,1,0,240,324,106,90,0.2,0.2
0,GasterBlaster,1,640,240,324,506,270,0.2,0.2
0,BoneStab,0,33,0.7,0.2,,,,
0,BoneStab,1,33,0.7,0.2,,,,
0,BoneStab,2,33,0.7,0.2,,,,
0,BoneStab,3,33,0.7,0.2,,,,
0.676,,,,,,,,,
0,GasterBlaster,2,0,240,139,306,0,0.2,0.5
0,GasterBlaster,2,640,240,499,306,180,0.2,0.5
0,GasterBlaster,2,0,240,324,106,90,0.2,0.5
0,GasterBlaster,2,640,240,324,506,270,0.2,0.5
0,GasterBlaster,1,640,0,449,176,135,1.2,0.38
0,GasterBlaster,1,0,480,189,436,315,1.2,0.38
0,GasterBlaster,1,640,480,449,436,225,1.2,0.38
0,GasterBlaster,1,0,0,189,176,45,1.2,0.38
0,GasterBlaster,1,0,240,139,306,0,1.2,0.38
0,GasterBlaster,1,640,240,499,306,180,1.2,0.38
0,GasterBlaster,1,0,240,324,106,90,1.2,0.38
0,GasterBlaster,1,640,240,324,506,270,1.2,0.38
0,GasterBlaster,1,0,0,259,166,90,2.1,0.4
0,GasterBlaster,1,640,480,379,446,270,2.1,0.4
0,GasterBlaster,1,0,480,189,246,0,2.1,0.4
0,GasterBlaster,1,640,480,449,366,180,2.1,0.4
3.2,sound,mus_zz_megalovania,1.7,,,,,,
0,SansSlam,0,,,,,,,
0,CombatZoneResize,241,226,406,391,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.4,,,,,,,,,
0,CombatZoneResize,91,226,556,391,,,,
0,SansSlam,2,,,,,,,
0.6,,,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,40,0.3,100,,,,
,,,,,,,,,
,,,,,,,,,
0,PlatForm,101,339,30,,,,,
0,BoneV,157,319,140,,,,,
0,BoneV,157,209,80,,,,,
0,PlatForm,140,316,20,,,,,
0,BoneV,167,329,130,,,,,
0,BoneV,167,209,90,,,,,
0,BoneV,177,339,120,,,,,
0,BoneV,177,209,100,,,,,
0,PlatForm,193,339,32,,,,,
0,BoneV,203,209,118,,,1,,
0,BoneVRepeat,223,196,30,1,100,200,60,
0,BoneH,186,312,30,,,,,
0,BoneV,246,312,100,,,,,
0,BoneV,269,312,100,,,,,
0,BoneV,257,312,100,,,,,
0,BoneV,256,209,85,,,1,,
0,PlatForm,243,309,25,,,,,
0,BoneV,306,261,150,,,1,,
0,BoneV,291,281,170,,,1,,
0,BoneH,321,281,90,,,,,
0,BoneH,321,296,80,,,,,
0,BoneH,321,311,70,,,,,
0,BoneH,321,326,60,,,,,
0,BoneH,321,341,50,,,,,
0,BoneH,321,356,40,,,,,
0,BoneH,321,371,30,,,,,
0,BoneH,411,341,40,,,,,
0,Platform,411,331,40,,,,,
0,Platform,486,331,25,,,,,
0,BoneV,471,216,90,,,,,
0,BoneV,471,326,120,,,,,
0,BoneV,456,216,80,,,,,
0,BoneV,456,316,120,,,,,
0,Platform,515,291,10,,,,,
0,Platform,530,260,30,,,,,
0,BoneV,540,261,1000,,,,,
0,BoneV,526,261,1000,,,,,
0,PlatForm,312,265,32,,,,,
5,BoneStab,2,30,0,0.45,,,,
0.45,BoneStab,2,60,0,0.45,,,,
0.45,BoneStab,2,90,0,0.45,,,,
0.45,BoneStab,2,120,0,0.45,,,,
0.45,BoneStab,2,150,0,0.45,,,,
0.45,BoneStab,2,180,0,0.45,,,,
0.45,BoneStab,2,210,0,0.45,,,,
0.45,BoneStab,2,240,0,0.45,,,,
0.45,BoneStab,2,270,0,0.45,,,,
0.45,BoneStab,2,300,0,0.45,,,,
0.45,BoneStab,2,330,0,0.45,,,,
0.45,BoneStab,2,360,0,0.45,,,,
0.45,BoneStab,2,390,0,0.45,,,,
0.45,BoneStab,2,420,0,1,,,,
1.45,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.2555,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,SansSlam,3,,,,,,,
0,HeartTelePort,320,304,,,,,,
0,SansBody,HandUP,,,,,,,
0.3,GasterBlaster,1,261,76,261,176,90,0.25,0.9
0,BoneStab,3,20,0.5,1,,,,
0.075,GasterBlaster,1,281,76,281,176,90,0.25,0.8
0,BoneStab,3,30,0.5,0.8,,,,
0.075,GasterBlaster,1,301,76,301,176,90,0.25,0.7
0,BoneStab,3,40,0.5,0.7,,,,
0.075,GasterBlaster,1,321,76,321,176,90,0.25,0.6
0,BoneStab,3,50,0.5,0.6,,,,
0.075,GasterBlaster,1,341,76,341,176,90,0.25,0.5
0,BoneStab,3,60,0.5,0.5,,,,
0.075,GasterBlaster,1,361,76,361,176,90,0.25,0.4
0,BoneStab,3,70,0.5,0.4,,,,
0.3,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,GasterBlaster,0,556,396,456,396,180,0,0.5
0.05,GasterBlaster,0,556,381,456,381,180,0,0.5
0.05,GasterBlaster,0,556,371,456,371,180,0,0.5
0.05,GasterBlaster,0,556,361,456,361,180,0,0.5
0.05,GasterBlaster,0,556,351,456,351,180,0,0.5
0.05,GasterBlaster,0,556,341,456,341,180,0,0.5
0.05,GasterBlaster,0,556,331,456,331,180,0,0.5
0.61,HeartMode,0,,,,,,,
0,BoneVRepeat,266,206,40,1,210,200,75,
0.1,BoneVRepeat,291,411,30,3,211,200,60,
0,BoneVRepeat,321,206,60,1,212,200,103,
0,BoneVRepeat,351,411,45,3,213,200,75,
0,BoneVRepeat,376,206,36,1,214,200,70,
0,BoneHRepeat,-10,364,50,0,210,200,75,
0,BoneHRepeat,650,334,30,2,211,200,60,
0,BoneHRepeat,-10,304,65,0,212,200,99,
0,BoneHRepeat,650,274,55,2,213,200,76,
0,BoneHRepeat,-10,244,49.5,0,214,200,78,
0.2,bonestab,1,10,0,0.2,,,,
0,bonestab,2,10,0,0.2,,,,
0.2,bonestab,1,20,0,0.2,,,,
0,bonestab,2,20,0,0.2,,,,
0.2,bonestab,1,30,0,0.2,,,,
0,bonestab,2,30,0,0.2,,,,
0.2,bonestab,1,40,0,0.2,,,,
0,bonestab,2,40,0,0.2,,,,
0.2,bonestab,1,50,0,0.2,,,,
0,bonestab,2,50,0,0.2,,,,
0.2,bonestab,1,60,0,0.2,,,,
0,bonestab,2,60,0,0.2,,,,
0.2,bonestab,1,70,0,0.2,,,,
0,bonestab,2,70,0,0.2,,,,
0.2,bonestab,1,75,0,0.2,,,,
0,bonestab,2,75,0,0.2,,,,
0.2,bonestab,1,80,0,0.2,,,,
0,bonestab,2,80,0,0.2,,,,
0.2,bonestab,1,90,0,0.2,,,,
0,bonestab,2,90,0,0.2,,,,
0.2,bonestab,1,100,0,0.2,,,,
0,bonestab,2,100,0,0.2,,,,
0.2,bonestab,1,110,0,0.2,,,,
0,bonestab,2,110,0,0.2,,,,
0.2,bonestab,1,120,0,0.2,,,,
0,bonestab,2,120,0,0.2,,,,
0.2,bonestab,1,130,0,0.2,,,,
0,bonestab,2,130,0,0.2,,,,
0.2,bonestab,1,140,0,0.2,,,,
0,bonestab,2,140,0,0.2,,,,
7,,,,,,,,,
0.2,bonestab,0,10,0,0.2,,,,
0,bonestab,3,10,0,0.2,,,,
0.2,bonestab,0,20,0,0.2,,,,
0,bonestab,3,20,0,0.2,,,,
0.2,bonestab,0,30,0,0.2,,,,
0,bonestab,3,30,0,0.2,,,,
0.2,bonestab,0,40,0,0.2,,,,
0,bonestab,3,40,0,0.2,,,,
0.2,bonestab,0,50,0,0.2,,,,
0,bonestab,3,50,0,0.2,,,,
0.2,bonestab,0,60,0,0.2,,,,
0,bonestab,3,60,0,0.2,,,,
0.2,bonestab,0,70,0,0.2,,,,
0,bonestab,3,70,0,0.2,,,,
0.2,bonestab,0,75,0,0.2,,,,
0,bonestab,3,75,0,0.2,,,,
0.2,bonestab,0,80,0,0.2,,,,
0,bonestab,3,80,0,0.2,,,,
0.2,bonestab,0,90,0,0.2,,,,
0,bonestab,3,90,0,0.2,,,,
0.2,bonestab,0,100,0,0.2,,,,
0,bonestab,3,100,0,0.2,,,,
0.2,bonestab,0,110,0,0.2,,,,
0,bonestab,3,110,0,0.2,,,,
0.2,bonestab,0,120,0,0.2,,,,
0,bonestab,3,120,0,0.2,,,,
0.2,bonestab,0,130,0,0.2,,,,
0,bonestab,3,130,0,0.2,,,,
0.2,bonestab,0,140,0,0.2,,,,
0,bonestab,3,140,0,0.2,,,,
0.9,sound,ding,,,,,,,
0,HeartTelePort,394.5,377.5,,,,,,
6,,,,,,,,,
0.2,bonestab,0,10,0,0.2,,,,
0,bonestab,1,10,0,0.2,,,,
0.2,bonestab,0,20,0,0.2,,,,
0,bonestab,1,20,0,0.2,,,,
0.2,bonestab,0,30,0,0.2,,,,
0,bonestab,1,30,0,0.2,,,,
0.2,bonestab,0,40,0,0.2,,,,
0,bonestab,1,40,0,0.2,,,,
0.2,bonestab,0,50,0,0.2,,,,
0,bonestab,1,50,0,0.2,,,,
0.2,bonestab,0,60,0,0.2,,,,
0,bonestab,1,60,0,0.2,,,,
0.2,bonestab,0,70,0,0.2,,,,
0,bonestab,1,70,0,0.2,,,,
0.2,bonestab,0,75,0,0.2,,,,
0,bonestab,1,75,0,0.2,,,,
0.2,bonestab,0,80,0,0.2,,,,
0,bonestab,1,80,0,0.2,,,,
0.2,bonestab,0,90,0,0.2,,,,
0,bonestab,1,90,0,0.2,,,,
0.2,bonestab,0,100,0,0.2,,,,
0,bonestab,1,100,0,0.2,,,,
0.2,bonestab,0,110,0,0.2,,,,
0,bonestab,1,110,0,0.2,,,,
0.2,bonestab,0,120,0,0.2,,,,
0,bonestab,1,120,0,0.2,,,,
0.2,bonestab,0,130,0,0.2,,,,
0,bonestab,1,130,0,0.2,,,,
0.2,bonestab,0,140,0,0.2,,,,
0,bonestab,1,140,0,0.2,,,,
6,,,,,,,,,
0.2,bonestab,2,10,0,0.2,,,,
0,bonestab,3,10,0,0.2,,,,
0.2,bonestab,2,20,0,0.2,,,,
0,bonestab,3,20,0,0.2,,,,
0.2,bonestab,2,30,0,0.2,,,,
0,bonestab,3,30,0,0.2,,,,
0.2,bonestab,2,40,0,0.2,,,,
0,bonestab,3,40,0,0.2,,,,
0.2,bonestab,2,50,0,0.2,,,,
0,bonestab,3,50,0,0.2,,,,
0.2,bonestab,2,60,0,0.2,,,,
0,bonestab,3,60,0,0.2,,,,
0.2,bonestab,2,70,0,0.2,,,,
0,bonestab,3,70,0,0.2,,,,
0.2,bonestab,2,75,0,0.2,,,,
0,bonestab,3,75,0,0.2,,,,
0.2,bonestab,2,80,0,0.2,,,,
0,bonestab,3,80,0,0.2,,,,
0.2,bonestab,2,90,0,0.2,,,,
0,bonestab,3,90,0,0.2,,,,
0.2,bonestab,2,100,0,0.2,,,,
0,bonestab,3,100,0,0.2,,,,
0.2,bonestab,2,110,0,0.2,,,,
0,bonestab,3,110,0,0.2,,,,
0.2,bonestab,2,120,0,0.2,,,,
0,bonestab,3,120,0,0.2,,,,
0.2,bonestab,2,130,0,0.2,,,,
0,bonestab,3,130,0,0.2,,,,
0.2,bonestab,2,140,0,0.2,,,,
0,bonestab,3,140,0,0.2,,,,
2,,,,,,,,,
0,GasterBlaster,1,0,480,189,246,0,0.7,0.3
0,GasterBlaster,1,640,480,449,366,180,0.7,0.3
0.79,,,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.7,0.3
0,GasterBlaster,1,640,480,379,446,270,0.7,0.3
0.79,,,,,,,,,
0,GasterBlaster,2,0,240,324,106,90,1.2,0.5
1.5,,,,,,,,,
0.9,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.1,BlackScreen,0,,,,,,,
0,HeartTelePort,320,304,,,,,,
3.2,Sound,mus_zz_megalovania,2,,,,,,
1,,,,,,,,,
0,BoneV,288,229,65,,,,,
0,boneH,241,286,30,,,,,
0,BoneV,348,229,65,,,,,
0,boneH,312,286,23,,,,,
0,boneH,376,286,30,,,,,
0,BoneVRepeat,321,206,40,1,230,10,85,
0,BoneV,288,322,65,,,,,
0,boneH,312,228,23,,,,,
0,BoneV,348,322,65,,,,,
0,boneH,312,379,23,,,,,
0,bonestab,0,15,0.1,100,,,,
0,bonestab,2,15,0.1,100,,,,
0,boneH,241,326,30,,,,,
0,boneH,312,326,23,,,,,
0,boneH,376,326,30,,,,,
,,,,,,,,,
0.2,,,,,,,,,
0,GasterBlaster,0,0,240,139,306,0,0.2,0.38
0,GasterBlaster,0,640,240,426,306,180,0.2,0.38
0.4,,,,,,,,,
0,GasterBlaster,1,0,0,259,166,90,0.2,0.38
0,GasterBlaster,1,640,480,379,446,270,0.2,0.38
0,GasterBlaster,1,0,480,189,246,0,0.2,0.38
0,GasterBlaster,1,640,480,449,366,180,0.2,0.38
0.7,,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.3,0.38
0.2,,,,,,,,,
0,GasterBlaster,2,0,0,259,166,90,0.8,0.38
0,GasterBlaster,2,640,480,379,446,270,0.8,0.38
0,GasterBlaster,1,0,480,189,246,0,0.2,0.38
0,GasterBlaster,1,640,480,449,366,180,0.2,0.38
0.1,,,,,,,,,
0,GasterBlaster,2,0,240,139,306,0,1.7,0.38
0,GasterBlaster,2,640,240,426,306,180,1.7,0.38
0,GasterBlaster,2,0,240,324,106,90,1.7,0.38
0,GasterBlaster,2,640,240,324,506,270,1.7,0.38
3.7,,,,,,,,,
0,BoneStab,2,80,0.2,0.2,,,,
0.27,,,,,,,,,
0,BoneStab,0,80,0.2,0.2,,,,
0.27,,,,,,,,,
0,BoneStab,2,80,0.2,0.2,,,,
0.27,,,,,,,,,
0,BoneStab,0,80,0.2,0.2,,,,
0.27,,,,,,,,,
0,BoneStab,2,80,0.2,0.2,,,,
0.27,,,,,,,,,
0,BoneStab,0,80,0.2,0.2,,,,
0.27,,,,,,,,,
0,BoneStab,2,80,0.2,0.2,,,,
1.9,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0.3
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,189,90,0.3,0.3
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,240,139,$HeartY,0,0.3,0
0.4,,,,,,,,,
